Year,Series,Company,No.,Faction,Name,Secondary Name,Alternate Mode,Size Class,Notes,Distribution,Original Price
1985,The Transformers,Hasbro,-,Autobot,Bumblebee w/ Minispy,Bumble,VW Beetle,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Cliffjumper w/ Minispy,Cliff,Porsche 924 Turbo,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Gears w/ Minispy,Gears,Pick-up Truck,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Huffer w/ Minispy,Drag,Semi-cab,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Windcharger w/ Minispy,Charger,Pontiac Firebird,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Brawn w/ Minispy,Gong,Jeep Wrangler,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Beachcomber,Beachcomber,Dune Buggy,Minibot,Repackaged 1984 vesion with Minispy,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Cosmos,Adams,UFO,Minibot,,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Powerglide,Powerglide,A-10 Thunderbolt II,Minibot,,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Seaspray,Seaspray,Hovercraft,Minibot,,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Warpath,Warpath,General Motors M551 Sheridan AR/AAV,Minibot,,Mainline,$2.99
1985,The Transformers,Hasbro,-,Autobot,Topspin,Topspin,Tank,Jumpstarter,"Tank. Early versions had D.A.R on the wing stickers. Features a pull-back motor which when pulled back in vehicle mode and let go, the vehicle would dash forwards and then the figure would ""jump"" instantly transforming to a robot. ",Mainline,$6.99
1985,The Transformers,Hasbro,-,Autobot,Twin Twist,Twin Twist,Drill Tank,Jumpstarter,"Drill tank. Features a pull-back motor which when pulled back in vehicle mode and let go, the vehicle would dash forwards and then the figure would ""jump"" instantly transforming to a robot. Unreleased in Japan",Mainline,$6.99
1985,The Transformers,Hasbro,-,Autobot,Mazda / MX-1,-,Mazda / MX-1,Mini Spy,"Released on promotional card with the 1984 minibot rereleases to promote the rub signs. Released in white, blue & yellow. Unreleased in Japan",Promotional,-
1985,The Transformers,Hasbro,-,Autobot,Jeep,-,Jeep,Mini Spy,"Released on promotional card with the 1984 minibot rereleases to promote the rub signs. Released in white, blue & yellow. Unreleased in Japan",Promotional,-
1985,The Transformers,Hasbro,-,Autobot,Dune Buggy,-,Dune Buggy,Mini Spy,"Released on promotional card with the 1984 minibot rereleases to promote the rub signs. Released in white, blue & yellow. Unreleased in Japan",Promotional,-
1985,The Transformers,Hasbro,-,Autobot,Porsche,-,Porsche,Mini Spy,"Released on promotional card with the 1984 minibot rereleases to promote the rub signs. Released in white, blue & yellow. Unreleased in Japan",Promotional,-
1985,The Transformers,Hasbro,-,Autobot,Autoceptor,Autoceptor,Car,Watch,"Watch to Car and robot. Released in turquoise, red, black and grey. Released on US cardback under ""From The Kronoform Collection"" banner by Takara.",Mainline,$14.99
1985,The Transformers,Hasbro,-,Autobot,Deceptor,-,Jet,Watch,"Watch to Jet and robot. Came in Chromed Tan, grey or blue. Released on US cardback under ""From The Kronoform Collection"" banner by Takara. Unreleased in Japan",Mainline,$14.99
1985,The Transformers,Hasbro,-,Autobot,Kaltor,-,Calculator Watch,Watch,"Calculator Watch to robot. Came in Chrome or Black. Released on US cardback under ""From The Kronoform Collection"" banner by Takara. Unreleased in Japan",Mainline,$14.99
1985,The Transformers,Hasbro,-,Autobot,Camshaft,Downshift,Mazda RX-7,Omnibot,"Mail Away. Triple Changer - car mode, attack mode and robot mode. The Omnibots did not come with Tech Specs however it was later found that writer Bob Budiansky had written offical bios that were never used. Mail order through pamphlets ""The battle is far from over!"" (offer ended 30/06/1987); ""Look inside for a special offer"" (offer ended 30/06/1986); ""Earthlings, the S.T.A.R.S need your help now!"" (you could also purchase an Omnibot for $6.50 with no robot points or all 3 Omnibots for $12.50) & ""Have the Decepticons defeated us once and for all?"" (Purchase for $5 and 2 Robot Points or all 3 Omnobots for $12.50 with no Robot Points. Offer ended 30/06/1987)",Mail Away,$5 & 4 Robot Points
1985,The Transformers,Hasbro,-,Autobot,Downshift,Camshaft,Toyota Celica Supra,Omnibot,"Mail Away. Triple Changer - car mode, attack mode and robot mode. The Omnibots did not come with Tech Specs however it was later found that writer Bob Budiansky had written offical bios that were never used. Mail order through pamphlets ""The battle is far from over!"" (offer ended 30/06/1987); ""Look inside for a special offer"" (offer ended 30/06/1986); ""Earthlings, the S.T.A.R.S need your help now!"" (you could also purchase an Omnibot for $6.50 with no robot points or all 3 Omnibots for $12.50) & ""Have the Decepticons defeated us once and for all?"" (Purchase for $5 and 2 Robot Points or all 3 Omnobots for $12.50 with no Robot Points. Offer ended 30/06/1987)",Mail Away,$5 & 4 Robot Points
